Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B4J1N3	reviewed	GP15L_MOUSE	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	Gpr15lg Gpr15l	Mus musculus (Mouse)	78
A0A0D9R1M0	unreviewed	A0A0D9R1M0_CHLSB	C-C motif chemokine	CCL5	Chlorocebus sabaeus (Green monkey) (Simia sabaea)	91
A0A0G2KYH9	unreviewed	A0A0G2KYH9_DANRE	Chemokine (C-X-C motif) ligand 8a (Interleukin-8 isoform X1)	cxcl8a	Danio rerio (Zebrafish) (Brachydanio rerio)	98
A0A1U7QDU9	unreviewed	A0A1U7QDU9_MESAU	C-C motif chemokine	Ccl5	Mesocricetus auratus (Golden hamster)	91
A0A1U7TV00	unreviewed	A0A1U7TV00_CARSF	C-C motif chemokine	CCL5	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	91
A0A2I3LNP4	unreviewed	A0A2I3LNP4_PAPAN	C-C motif chemokine	CCL5	Papio anubis (Olive baboon)	91
A0A2J8LJL3	unreviewed	A0A2J8LJL3_PANTR	C-C motif chemokine	CK820_G0028761	Pan troglodytes (Chimpanzee)	92
A0A2K5F7V4	unreviewed	A0A2K5F7V4_AOTNA	C-C motif chemokine	CCL5	Aotus nancymaae (Ma's night monkey)	91
A0A2K5NSC7	unreviewed	A0A2K5NSC7_CERAT	C-C motif chemokine	CCL5	Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys)	91
A0A2K5RXE8	unreviewed	A0A2K5RXE8_CEBIM	C-C motif chemokine	CCL5	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	91
A0A2K5YRH3	unreviewed	A0A2K5YRH3_MANLE	C-C motif chemokine	CCL5	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	91
A0A2K6CD66	unreviewed	A0A2K6CD66_MACNE	C-C motif chemokine	CCL5	Macaca nemestrina (Pig-tailed macaque)	91
A0A2K6EMX3	unreviewed	A0A2K6EMX3_PROCO	C-C motif chemokine	CCL5	Propithecus coquereli (Coquerel's sifaka) (Propithecus verreauxi coquereli)	91
A0A2K6M4J5	unreviewed	A0A2K6M4J5_RHIBE	C-C motif chemokine	CCL5	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	91
A0A2K6UQA5	unreviewed	A0A2K6UQA5_SAIBB	C-C motif chemokine	CCL5	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	91
A0A2R8Z5M7	unreviewed	A0A2R8Z5M7_PANPA	C-C motif chemokine	CCL3	Pan paniscus (Pygmy chimpanzee) (Bonobo)	92
A0A2R9CSX1	unreviewed	A0A2R9CSX1_PANPA	C-C motif chemokine	CCL5	Pan paniscus (Pygmy chimpanzee) (Bonobo)	91
A0A2U3V6G0	unreviewed	A0A2U3V6G0_TURTR	C-C motif chemokine	LOC101338606	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	91
A0A2Y9LMK7	unreviewed	A0A2Y9LMK7_DELLE	C-C motif chemokine	CCL5	Delphinapterus leucas (Beluga whale)	91
A0A3Q7S1D2	unreviewed	A0A3Q7S1D2_VULVU	C-C motif chemokine	CCL5	Vulpes vulpes (Red fox)	91
A0A452EWQ1	unreviewed	A0A452EWQ1_CAPHI	C-C motif chemokine	CCL5	Capra hircus (Goat)	91
A0A452QK32	unreviewed	A0A452QK32_URSAM	C-C motif chemokine	CCL5	Ursus americanus (American black bear) (Euarctos americanus)	116
A0A452UQ57	unreviewed	A0A452UQ57_URSMA	C-C motif chemokine	CCL5	Ursus maritimus (Polar bear) (Thalarctos maritimus)	91
A0A455CAX1	unreviewed	A0A455CAX1_PHYMC	C-C motif chemokine	CCL5	Physeter macrocephalus (Sperm whale) (Physeter catodon)	91
A0A493SUL7	unreviewed	A0A493SUL7_ANAPP	C-C motif chemokine	CCL5	Anas platyrhynchos platyrhynchos (Northern mallard)	90
A0A4W2DN31	unreviewed	A0A4W2DN31_BOBOX	C-C motif chemokine	CCL5	Bos indicus x Bos taurus (Hybrid cattle)	91
A0A4X1T3A0	unreviewed	A0A4X1T3A0_PIG	C-C motif chemokine	CCL5	Sus scrofa (Pig)	91
A0A5F4W4J1	unreviewed	A0A5F4W4J1_CALJA	C-C motif chemokine	CCL5	Callithrix jacchus (White-tufted-ear marmoset)	91
A0A5N4D4Y9	unreviewed	A0A5N4D4Y9_CAMDR	C-C motif chemokine	Cadr_000018863	Camelus dromedarius (Dromedary) (Arabian camel)	91
A0A671G2P7	unreviewed	A0A671G2P7_RHIFE	C-C motif chemokine	CCL5 mRhiFer1_002353	Rhinolophus ferrumequinum (Greater horseshoe bat)	91
A0A674KBN8	unreviewed	A0A674KBN8_9SAUR	C-C motif chemokine	CCL5	Terrapene triunguis (Three-toed box turtle)	90
A0A6D2WNS6	unreviewed	A0A6D2WNS6_PONAB	C-C motif chemokine	CCL5 CR201_G0051846	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	91
A0A6D2XPR4	unreviewed	A0A6D2XPR4_PANTR	C-C motif chemokine	CK820_G0028744	Pan troglodytes (Chimpanzee)	91
A0A6P3FB87	unreviewed	A0A6P3FB87_OCTDE	C-C motif chemokine	Ccl5	Octodon degus (Degu) (Sciurus degus)	91
A0A6P3J8S7	unreviewed	A0A6P3J8S7_BISBB	C-C motif chemokine	CCL5	Bison bison bison (North American plains bison)	91
A0A6P3RPY4	unreviewed	A0A6P3RPY4_PTEVA	C-C motif chemokine	CCL5	Pteropus vampyrus (Large flying fox)	91
A0A6P5LS92	unreviewed	A0A6P5LS92_PHACI	C-C motif chemokine	LOC110221290	Phascolarctos cinereus (Koala)	91
A0A6P5QR61	unreviewed	A0A6P5QR61_MUSCR	C-C motif chemokine	Ccl5	Mus caroli (Ryukyu mouse) (Ricefield mouse)	91
A0A8B7HSN2	unreviewed	A0A8B7HSN2_MICMU	C-C motif chemokine	CCL5	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	91
A0A8B8W7Q3	unreviewed	A0A8B8W7Q3_BALMU	C-C motif chemokine	CCL5	Balaenoptera musculus (Blue whale)	91
A0A8C0ILY7	unreviewed	A0A8C0ILY7_CHEAB	C-C motif chemokine	CCL5	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	90
A0A8C2SVH8	unreviewed	A0A8C2SVH8_COTJA	C-C motif chemokine	CCL5	Coturnix japonica (Japanese quail) (Coturnix coturnix japonica)	91
A0A8C2W110	unreviewed	A0A8C2W110_CHILA	C-C motif chemokine	CCL5	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	91
A0A8C3W8Q5	unreviewed	A0A8C3W8Q5_9CETA	C-C motif chemokine	CCL5	Catagonus wagneri (Chacoan peccary)	91
A0A8C5LH95	unreviewed	A0A8C5LH95_JACJA	C-C motif chemokine	Ccl5	Jaculus jaculus (Lesser Egyptian jerboa)	91
A0A8C6C4L2	unreviewed	A0A8C6C4L2_MONMO	C-C motif chemokine	CCL5	Monodon monoceros (Narwhal) (Ceratodon monodon)	91
A0A8C6DIQ1	unreviewed	A0A8C6DIQ1_MOSMO	C-C motif chemokine	CCL5	Moschus moschiferus (Siberian musk deer) (Moschus sibiricus)	91
A0A8C6MV25	unreviewed	A0A8C6MV25_MUSSI	C-C motif chemokine		Mus spicilegus (Steppe mouse)	91
A0A8C6QK18	unreviewed	A0A8C6QK18_NANGA	C-C motif chemokine	Ccl5	Nannospalax galili (Northern Israeli blind subterranean mole rat) (Spalax galili)	91
A0A8C8T8I5	unreviewed	A0A8C8T8I5_PERMB	C-C motif chemokine		Peromyscus maniculatus bairdii (Prairie deer mouse)	91
A0A8C9AG62	unreviewed	A0A8C9AG62_PROSS	C-C motif chemokine	CCL5	Prolemur simus (Greater bamboo lemur) (Hapalemur simus)	91
A0A8C9CVX2	unreviewed	A0A8C9CVX2_PHOSS	C-C motif chemokine	CCL5	Phocoena sinus (Vaquita)	91
A0A8C9DBV9	unreviewed	A0A8C9DBV9_PANLE	C-C motif chemokine	CCL5	Panthera leo (Lion)	91
A0A8C9MA66	unreviewed	A0A8C9MA66_PANTA	C-C motif chemokine	CCL5	Panthera tigris altaica (Siberian tiger)	91
A0A8D0GKZ9	unreviewed	A0A8D0GKZ9_SPHPU	C-C motif chemokine	CCL5	Sphenodon punctatus (Tuatara) (Hatteria punctata)	95
A0A8D2B8V4	unreviewed	A0A8D2B8V4_SCIVU	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Sciurus vulgaris (Eurasian red squirrel)	91
A0A8D2I7M8	unreviewed	A0A8D2I7M8_UROPR	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Urocitellus parryii (Arctic ground squirrel) (Spermophilus parryii)	91
A0A8I6A271	unreviewed	A0A8I6A271_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	114
A0A8I6GDX4	unreviewed	A0A8I6GDX4_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12	Rattus norvegicus (Rat)	81
A0A8J6GB89	unreviewed	A0A8J6GB89_MICOH	C-C motif chemokine	LTLLF_170550	Microtus ochrogaster (Prairie vole)	91
A0A8J8YNN5	unreviewed	A0A8J8YNN5_MACMU	C-C motif chemokine	EGK_08420	Macaca mulatta (Rhesus macaque)	91
A0A8M3B7M3	unreviewed	A0A8M3B7M3_DANRE	Interleukin-8 isoform X2	cxcl8a	Danio rerio (Zebrafish) (Brachydanio rerio)	97
A0A9L0J4M4	unreviewed	A0A9L0J4M4_EQUAS	C-C motif chemokine	CCL5	Equus asinus (Donkey) (Equus africanus asinus)	91
A0A9V1EDR5	unreviewed	A0A9V1EDR5_PANPR	C-C motif chemokine	CCL5	Panthera pardus (Leopard) (Felis pardus)	91
A0MJX7	unreviewed	A0MJX7_MACMU	C-C motif chemokine	CCL5	Macaca mulatta (Rhesus macaque)	91
A6IIY6	unreviewed	A6IIY6_RAT	C-C motif chemokine	Ccl19 Ccl19_predicted rCG_54984	Rattus norvegicus (Rat)	108
A6IL30	unreviewed	A6IL30_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12 rCG_30074	Rattus norvegicus (Rat)	93
A6IL31	unreviewed	A6IL31_RAT	Chemokine (C-X-C motif) ligand 12, isoform CRA_b	Cxcl12 rCG_30074	Rattus norvegicus (Rat)	96
A8DBL3	unreviewed	A8DBL3_MUSPF	C-X-C motif chemokine	CXCL10 crg-2 IFI10 INP10 IP-10 mob-1 SCYB10	Mustela putorius furo (European domestic ferret) (Mustela furo)	98
B1AB88	unreviewed	B1AB88_HORSE	C-C motif chemokine		Equus caballus (Horse)	93
B3F2F7	unreviewed	B3F2F7_BUBBU	C-C motif chemokine		Bubalus bubalis (Domestic water buffalo)	93
B3KYI4	unreviewed	B3KYI4_ORYLA	Stromal cell-derived factor 1 (C-X-C motif chemokine 12)	a-Sdf1a cxcl12a sdf1a	Oryzias latipes (Japanese rice fish) (Japanese killifish)	98
C5NM73	unreviewed	C5NM73_FELCA	C-C motif chemokine	LOC100302540	Felis catus (Cat) (Felis silvestris catus)	93
C6L844	unreviewed	C6L844_MUSPF	C-C motif chemokine	CCL5	Mustela putorius furo (European domestic ferret) (Mustela furo)	91
C9EI29	unreviewed	C9EI29_PAPAN	C-C motif chemokine		Papio anubis (Olive baboon)	79
D3ZI84	unreviewed	D3ZI84_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	108
F1S1A1	unreviewed	F1S1A1_PIG	C-C motif chemokine	CCL3L1	Sus scrofa (Pig)	93
F7EV62	unreviewed	F7EV62_MONDO	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Monodelphis domestica (Gray short-tailed opossum)	91
F7HEP4	unreviewed	F7HEP4_CALJA	C-C motif chemokine	CCL3L3 CCL3L1	Callithrix jacchus (White-tufted-ear marmoset)	93
G1LXW4	unreviewed	G1LXW4_AILME	C-C motif chemokine	LOC100469295	Ailuropoda melanoleuca (Giant panda)	93
G1NYW3	unreviewed	G1NYW3_MYOLU	C-C motif chemokine	CCL5	Myotis lucifugus (Little brown bat)	91
G1NYW4	unreviewed	G1NYW4_MYOLU	C-C motif chemokine	LOC102437330	Myotis lucifugus (Little brown bat)	93
G1RVC7	unreviewed	G1RVC7_NOMLE	C-C motif chemokine	CCL5	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	91
G1RVM1	unreviewed	G1RVM1_NOMLE	C-C motif chemokine		Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	92
G1SE13	unreviewed	G1SE13_RABIT	C-C motif chemokine		Oryctolagus cuniculus (Rabbit)	93
G1SIG1	unreviewed	G1SIG1_RABIT	C-C motif chemokine	CCL5	Oryctolagus cuniculus (Rabbit)	91
G3I8B1	unreviewed	G3I8B1_CRIGR	C-C motif chemokine	Ccl5 I79_019774	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	91
G3RWY7	unreviewed	G3RWY7_GORGO	C-C motif chemokine	CCL3	Gorilla gorilla gorilla (Western lowland gorilla)	92
H0X5E3	unreviewed	H0X5E3_OTOGA	C-C motif chemokine	CCL5	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	91
H7BX38	unreviewed	H7BX38_MOUSE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12	Mus musculus (Mouse)	119
I3LGZ3	reviewed	GL15L_PIG	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	GPR15LG GPR15L	Sus scrofa (Pig)	81
I3MQF6	unreviewed	I3MQF6_ICTTR	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	91
K7ARK7	unreviewed	K7ARK7_PANTR	C-C motif chemokine	CCL5	Pan troglodytes (Chimpanzee)	91
K7FCP8	unreviewed	K7FCP8_PELSI	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Pelodiscus sinensis (Chinese softshell turtle) (Trionyx sinensis)	90
L8IBH6	unreviewed	L8IBH6_9CETA	C-C motif chemokine	M91_13606	Bos mutus (wild yak)	91
O00175	reviewed	CCL24_HUMAN	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)	CCL24 MPIF2 SCYA24	Homo sapiens (Human)	119
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94
O15467	reviewed	CCL16_HUMAN	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)	CCL16 ILINCK NCC4 SCYA16	Homo sapiens (Human)	120
O43927	reviewed	CXL13_HUMAN	C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	CXCL13 BCA1 BLC SCYB13	Homo sapiens (Human)	109
O55038	reviewed	CXL13_MOUSE	C-X-C motif chemokine 13 (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	Cxcl13 Blc Scyb13	Mus musculus (Mouse)	109
O70460	reviewed	CCL19_MOUSE	C-C motif chemokine 19 (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Small-inducible cytokine A19)	Ccl19 Elc Scya19	Mus musculus (Mouse)	108
