Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B4J1N3	reviewed	GP15L_MOUSE	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	Gpr15lg Gpr15l	Mus musculus (Mouse)	78
A0A0G2KYH9	unreviewed	A0A0G2KYH9_DANRE	Chemokine (C-X-C motif) ligand 8a (Interleukin-8 isoform X1)	cxcl8a	Danio rerio (Zebrafish) (Brachydanio rerio)	98
A0A2J8LJL3	unreviewed	A0A2J8LJL3_PANTR	C-C motif chemokine	CK820_G0028761	Pan troglodytes (Chimpanzee)	92
A0A4X1T3A0	unreviewed	A0A4X1T3A0_PIG	C-C motif chemokine	CCL5	Sus scrofa (Pig)	91
A0A5F4W4J1	unreviewed	A0A5F4W4J1_CALJA	C-C motif chemokine	CCL5	Callithrix jacchus (White-tufted-ear marmoset)	91
A0A6D2WNS6	unreviewed	A0A6D2WNS6_PONAB	C-C motif chemokine	CCL5 CR201_G0051846	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	91
A0A6D2XPR4	unreviewed	A0A6D2XPR4_PANTR	C-C motif chemokine	CK820_G0028744	Pan troglodytes (Chimpanzee)	91
A0A8B7HSN2	unreviewed	A0A8B7HSN2_MICMU	C-C motif chemokine	CCL5	Microcebus murinus (Gray mouse lemur) (Lemur murinus)	91
A0A8I6A271	unreviewed	A0A8I6A271_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	114
A0A8I6GDX4	unreviewed	A0A8I6GDX4_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12	Rattus norvegicus (Rat)	81
A0A8M3B7M3	unreviewed	A0A8M3B7M3_DANRE	Interleukin-8 isoform X2	cxcl8a	Danio rerio (Zebrafish) (Brachydanio rerio)	97
A6IIY6	unreviewed	A6IIY6_RAT	C-C motif chemokine	Ccl19 Ccl19_predicted rCG_54984	Rattus norvegicus (Rat)	108
A6IL30	unreviewed	A6IL30_RAT	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12 rCG_30074	Rattus norvegicus (Rat)	93
A6IL31	unreviewed	A6IL31_RAT	Chemokine (C-X-C motif) ligand 12, isoform CRA_b	Cxcl12 rCG_30074	Rattus norvegicus (Rat)	96
B1AB88	unreviewed	B1AB88_HORSE	C-C motif chemokine		Equus caballus (Horse)	93
D3ZI84	unreviewed	D3ZI84_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	108
F1S1A1	unreviewed	F1S1A1_PIG	C-C motif chemokine	CCL3L1	Sus scrofa (Pig)	93
F7EV62	unreviewed	F7EV62_MONDO	C-C motif chemokine 5 (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5	Monodelphis domestica (Gray short-tailed opossum)	91
F7HEP4	unreviewed	F7HEP4_CALJA	C-C motif chemokine	CCL3L3 CCL3L1	Callithrix jacchus (White-tufted-ear marmoset)	93
G1LXW4	unreviewed	G1LXW4_AILME	C-C motif chemokine	LOC100469295	Ailuropoda melanoleuca (Giant panda)	93
G1RVC7	unreviewed	G1RVC7_NOMLE	C-C motif chemokine	CCL5	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	91
G1RVM1	unreviewed	G1RVM1_NOMLE	C-C motif chemokine		Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	92
G1SE13	unreviewed	G1SE13_RABIT	C-C motif chemokine		Oryctolagus cuniculus (Rabbit)	93
G1SIG1	unreviewed	G1SIG1_RABIT	C-C motif chemokine	CCL5	Oryctolagus cuniculus (Rabbit)	91
G3RWY7	unreviewed	G3RWY7_GORGO	C-C motif chemokine	CCL3	Gorilla gorilla gorilla (Western lowland gorilla)	92
H7BX38	unreviewed	H7BX38_MOUSE	Stromal cell-derived factor 1 (C-X-C motif chemokine 12) (Pre-B cell growth-stimulating factor)	Cxcl12	Mus musculus (Mouse)	119
I3LGZ3	reviewed	GL15L_PIG	Protein GPR15LG (Protein GPR15 ligand) (Protein GPR15L)	GPR15LG GPR15L	Sus scrofa (Pig)	81
K7ARK7	unreviewed	K7ARK7_PANTR	C-C motif chemokine	CCL5	Pan troglodytes (Chimpanzee)	91
O00175	reviewed	CCL24_HUMAN	C-C motif chemokine 24 (CK-beta-6) (Eosinophil chemotactic protein 2) (Eotaxin-2) (Myeloid progenitor inhibitory factor 2) (MPIF-2) (Small-inducible cytokine A24)	CCL24 MPIF2 SCYA24	Homo sapiens (Human)	119
O00626	reviewed	CCL22_HUMAN	C-C motif chemokine 22 (CC chemokine STCP-1) (MDC(1-69)) (Macrophage-derived chemokine) (Small-inducible cytokine A22) (Stimulated T-cell chemotactic protein 1) [Cleaved into: MDC(3-69); MDC(5-69); MDC(7-69)]	CCL22 MDC SCYA22 A-152E5.1	Homo sapiens (Human)	93
O14625	reviewed	CXL11_HUMAN	C-X-C motif chemokine 11 (Beta-R1) (H174) (Interferon gamma-inducible protein 9) (IP-9) (Interferon-inducible T-cell alpha chemoattractant) (I-TAC) (Small-inducible cytokine B11)	CXCL11 ITAC SCYB11 SCYB9B	Homo sapiens (Human)	94
O15467	reviewed	CCL16_HUMAN	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)	CCL16 ILINCK NCC4 SCYA16	Homo sapiens (Human)	120
O43927	reviewed	CXL13_HUMAN	C-X-C motif chemokine 13 (Angie) (B cell-attracting chemokine 1) (BCA-1) (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	CXCL13 BCA1 BLC SCYB13	Homo sapiens (Human)	109
O55038	reviewed	CXL13_MOUSE	C-X-C motif chemokine 13 (B lymphocyte chemoattractant) (CXC chemokine BLC) (Small-inducible cytokine B13)	Cxcl13 Blc Scyb13	Mus musculus (Mouse)	109
O70460	reviewed	CCL19_MOUSE	C-C motif chemokine 19 (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Small-inducible cytokine A19)	Ccl19 Elc Scya19	Mus musculus (Mouse)	108
O89093	reviewed	CCL20_MOUSE	C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (CC chemokine ST38) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20)	Ccl20 Larc Scya20	Mus musculus (Mouse)	97
O95715	reviewed	CXL14_HUMAN	C-X-C motif chemokine 14 (Chemokine BRAK) (MIP-2G) (Small-inducible cytokine B14)	CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273	Homo sapiens (Human)	111
O97919	reviewed	CCL5_BOVIN	C-C motif chemokine 5 (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES)	CCL5 SCYA5	Bos taurus (Bovine)	91
P02776	reviewed	PLF4_HUMAN	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]	PF4 CXCL4 SCYB4	Homo sapiens (Human)	101
P02777	reviewed	PLF4_BOVIN	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4)	PF4 CXCL4 SCYB4	Bos taurus (Bovine)	88
P02778	reviewed	CXL10_HUMAN	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]	CXCL10 INP10 SCYB10	Homo sapiens (Human)	98
P06765	reviewed	PLF4_RAT	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4)	Pf4 Cxcl4 Scyb4	Rattus norvegicus (Rat)	105
P09341	reviewed	GROA_HUMAN	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)	107
P10145	reviewed	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99
P10146	reviewed	CCL1_MOUSE	C-C motif chemokine 1 (P500) (SIS-epsilon) (Small-inducible cytokine A1) (T-cell activation protein 3) (TCA-3) (TCA3)	Ccl1 Scya1 Tca3	Mus musculus (Mouse)	92
